Algorithm,NumBoxes,RandomDistribution,ClusteredDistribution
QuickSort,100,6.33333e-06,5.7e-06
QuickSort,500,4.04e-05,3.79e-05
QuickSort,1000,8.56667e-05,8.52667e-05
MergeSort,100,2.29e-05,2.28667e-05
MergeSort,500,0.000121033,0.000122967
MergeSort,1000,0.000253133,0.0002539
HeapSort,100,1.12333e-05,1.13333e-05
HeapSort,500,7.74333e-05,7.71333e-05
HeapSort,1000,0.000174733,0.000212267
InsertionSort,100,1.17e-05,1.23667e-05
InsertionSort,500,0.000265633,0.0002906
InsertionSort,1000,0.00107293,0.0011633
NMS,100,0.000264867,0.000353267
NMS,500,0.0054878,0.0049249
NMS,1000,0.0193224,0.016971
